,Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption
421,5.626,10.258,0.936,70.8,0.739,-0.137,0.932
422,6.508,10.166,0.923,71.4,0.837,-0.063,0.961
424,6.238,10.566,0.878,71.44,0.836,0.018,0.712
425,6.833,10.558,0.812,72.16,0.775,0.054,0.801
426,6.387,10.551,0.822,72.4,0.755,0.073,0.833
427,6.69,10.53,0.844,72.54,0.745,0.18,0.841
428,6.181,10.479,0.767,72.68,0.725,0.098,0.871
429,5.439,10.414,0.744,72.82,0.656,0.102,0.867
430,5.627,10.406,0.77,72.96,0.715,0.06,0.868
431,5.439,10.445,0.77,73.1,0.628,0.114,0.893
432,5.795,10.506,0.786,73.3,0.756,-0.03,0.898
433,6.062,10.539,0.819,73.5,0.812,0.043,0.851
434,6.276,10.567,0.826,73.7,0.794,-0.022,0.848
435,6.137,10.585,0.776,73.9,0.74,-0.008,0.865
438,6.5,10.437,0.9,67.44,0.799,-0.063,0.928
439,6.25,10.419,0.934,68.1,0.779,-0.042,0.926
440,6.331,10.435,0.914,68.24,0.787,-0.106,0.95
441,6.334,10.426,0.912,68.38,0.74,-0.154,0.957
442,6.698,10.42,0.888,68.52,0.726,-0.156,0.916
443,6.484,10.446,0.878,68.66,0.8,-0.168,0.897
444,6.608,10.496,0.911,68.8,0.808,-0.146,0.886
445,6.736,10.518,0.931,69.3,0.85,-0.197,0.9
446,6.79,10.558,0.901,69.8,0.832,-0.177,0.867
447,7.034,10.583,0.929,70.3,0.79,-0.292,0.851
448,6.897,10.53,0.964,71.3,0.906,-0.127,0.884
450,7.834,10.891,0.954,69.92,0.932,0.24,0.206
451,7.971,10.88,0.954,70.08,0.97,0.272,0.248
452,7.683,10.824,0.939,70.24,0.949,0.264,0.206
453,7.771,10.839,0.975,70.4,0.944,0.242,0.175
454,7.788,10.848,0.962,70.62,0.935,0.298,0.22
455,7.52,10.846,0.951,70.84,0.933,0.139,0.187
456,7.589,10.851,0.965,71.06,0.92,0.215,0.17
457,7.508,10.862,0.956,71.28,0.942,0.118,0.237
458,7.514,10.878,0.96,71.5,0.941,0.222,0.191
459,7.558,10.903,0.954,71.8,0.948,0.138,0.21
460,7.594,10.916,0.952,72.1,0.955,0.155,0.181
461,7.649,10.935,0.958,72.4,0.935,0.018,0.151
462,7.693,10.954,0.958,72.7,0.963,0.02,0.174
463,7.515,10.91,0.947,73.0,0.938,0.052,0.214
464,5.009,8.111,0.69,53.26,0.773,0.129,0.576
465,4.906,7.927,0.901,53.78,0.649,0.005,0.634
467,4.369,7.88,0.633,54.7,0.746,-0.057,0.519
468,5.088,9.314,0.919,62.68,0.858,0.038,0.755
469,5.081,9.372,0.848,62.96,0.886,-0.008,0.772
470,4.842,9.391,0.85,63.24,0.848,-0.045,0.728
471,5.432,9.388,0.878,63.52,0.863,-0.053,0.806
472,4.735,9.456,0.86,63.8,0.824,-0.075,0.78
473,5.397,9.475,0.872,64.02,0.848,0.014,0.788
474,4.753,9.489,0.879,64.24,0.84,-0.062,0.727
475,5.016,9.525,0.878,64.46,0.889,0.021,0.752
476,5.387,9.582,0.891,64.68,0.905,-0.02,0.76
477,5.062,9.637,0.893,64.9,0.856,-0.065,0.755
478,5.239,9.691,0.895,65.2,0.873,-0.08,0.737
479,5.605,9.725,0.894,65.5,0.855,-0.121,0.76
480,5.433,9.782,0.862,65.8,0.867,-0.15,0.762
481,6.004,9.821,0.884,66.1,0.877,-0.123,0.746
482,5.168,9.802,0.806,66.4,0.835,-0.128,0.636
483,5.024,9.186,0.91,66.08,0.671,-0.091,0.901
484,4.996,9.191,0.839,66.26,0.67,-0.063,0.83
485,5.297,9.236,0.829,66.44,0.64,-0.094,0.801
486,6.022,9.225,0.779,66.62,0.737,-0.108,0.774
487,5.838,9.244,0.839,66.8,0.723,-0.063,0.806
488,5.795,9.304,0.818,66.96,0.788,-0.155,0.702
